2018 Jul 30 00:43:38,394: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0]} ]
2018 Jul 30 00:43:38,395: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Mar:Loan Product 1 ]
2018 Jul 30 00:43:38,395: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:43:38,395: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:43:38,396: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 3:Mar:Loan Product 2= [count=1, sum=2084.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:43:38,397: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:43:38,397: INFO : Jumo Loan Processor | main |  Found Existing Key in Hash Map With Key [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:43:38,397: INFO : Jumo Loan Processor | main |  New Count: [1 ] New Sum [ 2084.0 ]
2018 Jul 30 00:43:38,398: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 1 ]
2018 Jul 30 00:43:38,398: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:43:38,398: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Apr:Loan Product 3 ]
2018 Jul 30 00:43:38,398: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:43:38,399: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 3 ]
2018 Jul 30 00:43:38,399: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:43:38,400: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Apr:Loan Product 2 ]
2018 Jul 30 00:43:38,400: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 1:Apr:Loan Product 2= [count=1, sum=1801.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:43:38,400: INFO : Jumo Loan Processor | main |  Begin Writing To File 
2018 Jul 30 00:43:38,404: INFO : Jumo Loan Processor | main |  Writing to File:  /Users/kamauwamatu/IdeaProjects/CrackJumo/OutPut.csv
2018 Jul 30 00:43:38,405: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 2, Apr, Loan Product 3, 1, 1747.0] ]
